"ComputerName";"Connection";"DaysFromUptime";"DateFromLastBootTime";"HourFromLastBootTime";"Name";"Enabled";"State";"Action";"Action_Arguments";"Trigger";"TriggerTypeOfSchedule";"Repetition";"TriggerDayOfWeek";"TriggerDayOfMonth";"LastRunTime";"NextRunTime";"LastTaskResult";"NumberOfMissedRuns";"UserId";"Author";"Path";"Description"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-22296";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-22296";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-22296";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-28536";"False";"Disabled";"";"";"IdleTrigger";"";"";;;"11/06/2018 12:10:39";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-28536";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-28536";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-28998";"False";"Disabled";"";"";"IdleTrigger";"";"";;;"25/07/2017 14:29:11";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-28998";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-28998";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-30204";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-30204";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-30204";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-30207";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-30207";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-30207";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-33286";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-33286";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-33286";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-34051";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-34051";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-34051";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-34202";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-34202";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-34202";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-5442";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-5442";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-5442";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-5796";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-5796";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-5796";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-5871";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-5871";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-5871";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG01";"Ok";"1";"09/09/2018";"06:05:16";"Optimize Start Menu Cache Files-S-1-5-21-496368685-1788847009-574403548-500";"True";"Ready";"";"";"IdleTrigger";"";"";;;"21/02/2017 11:41:07";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-496368685-1788847009-574403548-500";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-496368685-1788847009-574403548-500";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG02";"Ok";"1";"09/09/2018";"06:01:41";"Adobe Acrobat Update Task";"True";"Ready";"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe";;"CalendarTrigger LogonTrigger";"ScheduleByDay";"Tous les 1 Jours";;;"10/09/2018 09:23:15";"11/09/2018 07:00:00";"0";"0";;"Adobe Systems Incorporated";"\Adobe Acrobat Update Task";"This task keeps your Adobe Reader and Acrobat applications up to date with the latest enhancements and security fixes"
"XA-PVS-PG02";"Ok";"1";"09/09/2018";"06:01:41";"Desactiveicones";"True";"Ready";"regedit";"/s c:\Tools\icon.reg";"BootTrigger";"";"";;;"24/06/2016 10:47:07";"30/12/1899 00:00:00";"0";"0";"BERNARD\apx";"BERNARD\apx";"\Desactiveicones";
"XA-PVS-PG02";"Ok";"1";"09/09/2018";"06:01:41";"Descativationiconepvs";"True";"Ready";"regedit";"/s c:\Tools\iconpvs.reg";"TimeTrigger";"";"";;;"21/06/2016 13:59:31";"30/12/1899 00:00:00";"0";"0";"BERNARD\apx";"BERNARD\apx";"\Descativationiconepvs";
"XA-PVS-PG02";"Ok";"1";"09/09/2018";"06:01:41";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-14794";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-14794";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-14794";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
"XA-PVS-PG02";"Ok";"1";"09/09/2018";"06:01:41";"Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-1680";"True";"Ready";"";"";"IdleTrigger";"";"";;;"30/11/1999 00:00:00";"30/12/1899 00:00:00";"0";"0";"S-1-5-21-2126451634-1489844936-1524247972-1680";"$(@%SystemRoot%\system32\twinapi.dll,-8001)";"\Optimize Start Menu Cache Files-S-1-5-21-2126451634-1489844936-1524247972-1680";"$(@%SystemRoot%\system32\twinapi.dll,-8002)"
